"JDAY","QOUT","QOUT.1","QOUT.2","QOUT.3","QOUT.4"
17012,337.307305883938,0,0,0,0
17013,335.047305883938,0,0,0,0
17014,342.327305883938,0,0,0,0
17015,328.647305883938,0,0,0,0
17016,314.887305883938,0,0,0,0
17017,285.127305883938,0,0,0,0
17018,289.027305883938,0,0,0,0
17019,315.417305883938,0,0,0,0
17020,369.167305883938,0,0,0,0
17021,360.417305883938,0,0,0,0
17022,388.277305883938,0,0,0,0
17023,344.017305883938,0,0,0,0
17024,379.897305883938,0,0,0,0
17025,346.657305883938,0,0,0,0
17026,358.347305883938,0,0,0,0
17027,340.997305883938,0,0,0,0
17028,333.517305883938,0,0,0,0
17029,329.217305883938,0,0,0,0
17030,321.457305883938,0,0,0,0
17031,267.737305883938,0,0,0,0
17032,306.277305883938,0,0,0,0
17033,344.417305883938,0,0,0,0
17034,357.137305883938,0,0,0,0
17035,383.127305883938,0,0,0,0
17036,330.377305883938,0,0,0,0
17037,313.917305883938,0,0,0,0
17038,326.837305883938,0,0,0,0
17039,329.887305883938,0,0,0,0
17040,327.707305883938,0,0,0,0
17041,318.677305883938,0,0,0,0
17042,286.537305883938,0,0,0,0
17043,249.157305883938,0,0,0,0
17044,248.707305883938,0,0,0,0
17045,280.597305883938,0,0,0,0
17046,270.967305883938,0,0,0,0
17047,249.307305883938,0,0,0,0
17048,234.377305883938,0,0,0,0
17049,224.637305883938,0,0,0,0
17050,187.227305883938,0,0,0,0
17051,228.627305883938,0,0,0,0
17052,221.187305883938,0,0,0,0
17053,221.697305883938,0,0,0,0
17054,220.897305883938,0,0,0,0
17055,206.087305883938,0,0,0,0
17056,192.527305883938,0,0,0,0
17057,214.897305883938,0,0,0,0
17058,229.597305883938,0,0,0,0
17059,215.007305883938,0,0,0,0
17060,204.927305883938,0,0,0,0
17061,205.897305883938,0,0,0,0
17062,200.657305883938,0,0,0,0
17063,199.777305883938,0,0,0,0
17064,199.947305883938,0,0,0,0
17065,200.967305883938,0,0,0,0
17066,209.037305883938,0,0,0,0
17067,207.787305883938,0,0,0,0
17068,207.307305883938,0,0,0,0
17069,193.377305883938,0,0,0,0
17070,193.097305883938,0,0,0,0
17071,185.337305883938,0,0,0,0
17072,153.647305883938,0,0,0,0
17073,151.557305883938,0,0,0,0
17074,151.837305883938,0,0,0,0
17075,157.757305883938,0,0,0,0
17076,137.447305883938,0,0,0,0
17077,145.207305883938,0,0,0,0
17078,139.917305883938,0,0,0,0
17079,119.527305883938,0,0,0,0
17080,141.127305883938,0,0,0,0
17081,123.237305883938,0,0,0,0
17082,133.177305883938,0,0,0,0
17083,134.337305883938,0,0,0,0
17084,115.027305883938,0,0,0,0
17085,109.477305883938,0,0,0,0
17086,111.317305883938,0,0,0,0
17087,107.857305883938,0,0,0,0
17088,107.827305883938,0,0,0,0
17089,108.397305883938,0,0,0,0
17090,108.767305883938,0,0,0,0
17091,108.967305883938,0,0,0,0
17092,109.217305883938,0,0,0,0
17093,129.467305883938,0,0,0,0
17094,133.937305883938,0,0,0,0
17095,121.597305883938,0,0,0,0
17096,126.127305883938,0,0,0,0
17097,123.267305883938,0,0,0,0
17098,127.507305883938,0,0,0,0
17099,124.817305883938,0,0,0,0
17100,126.067305883938,0,0,0,0
17101,133.767305883938,0,0,0,0
17102,135.407305883938,0,0,0,0
17103,135.297305883938,0,0,0,0
17104,147.387305883938,0,0,0,0
17105,130.287305883938,0,0,0,0
17106,111.257305883938,0,0,0,0
17107,153.737305883938,0,0,0,0
17108,137.057305883938,0,0,0,0
17109,161.657305883938,0,0,0,0
